from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
01-Jan-2020 - 00:00,10.48,995.83,574.48,472.98,73.09,57.44,113.44,0.5,10.22,59.64,25.69,59.47,267.97,237.18,42.47,15.37,3.56,02-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Jan-2020 - 00:00,12.97,995.59,561.03,455.22,71.37,53.15,118.64,0.47,8.19,62.98,24.73,71.17,342.81,256.06,41.49,12.24,3.63,03-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Jan-2020 - 00:00,14.48,993.17,526.76,276.09,70.96,53.48,187.37,0.39,10.21,82.88,27.2,59.18,211.11,203.6,19.06,15.61,3.56,04-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Jan-2020 - 00:00,13.7,992.17,405.46,214.89,71.5,55.17,223.78,0.62,6.93,42.27,26.78,58.56,91.86,105.92,13.17,19.54,1.69,05-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Jan-2020 - 00:00,13.6,992.6,366.71,181.99,66.73,58.75,261.03,0.75,4.78,26.9,26.25,47.73,29.18,49.23,8.81,5.3,1.19,06-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Jan-2020 - 00:00,14.13,993.64,365.53,182.3,67.44,41.33,171.48,0.83,5.4,29.96,26.52,53.79,36.47,58.33,11.22,13.48,1.26,07-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Jan-2020 - 00:00,15.24,991.55,190.31,119.5,69.05,34.98,84.47,0.81,4.53,26.69,23.6,51.83,24.73,47.76,13.1,12.69,1.1,08-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Jan-2020 - 00:00,13.3,989.56,156.87,127.95,80.67,18.81,179.08,0.88,4.59,26.57,26.35,40.8,27.56,44.11,12.99,8.12,1.46,09-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Jan-2020 - 00:00,10.18,994.19,202.33,101.98,75.91,57.03,314.19,1.04,3.05,17.26,17.91,29.18,19.59,31.48,9.29,25.62,0.9,10-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Jan-2020 - 00:00,8.48,994.6,305.73,155.97,79.76,57.37,269.88,0.71,5.1,24.86,19.04,45.17,45.6,61.4,11.8,15.38,1.45,11-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Jan-2020 - 00:00,11.39,994.06,416.05,165.7,69.07,61.35,270.24,0.63,5.48,31.33,19.84,58.66,81.27,97.35,17.02,28.94,1.8,12-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Jan-2020 - 00:00,12.9,991.13,379.68,250.98,70.53,57.94,200.89,0.62,6.19,32.05,22.96,53.19,177.99,165.84,33.93,23.54,1.88,13-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Jan-2020 - 00:00,15.36,986.61,351.21,215.79,67.36,42.29,177.21,1.27,6.92,38.95,29.2,61.55,53.36,76.25,10.28,23.41,1.79,14-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Jan-2020 - 00:00,12.83,990.16,180.16,110.41,74.5,50.08,302.91,0.93,4.05,21.87,30.09,41.2,25.64,42.8,11.92,21.19,1.06,15-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Jan-2020 - 00:00,13.06,991.2,248.78,134.93,71.7,53.87,273.04,0.85,4.95,30.29,42.65,61.16,29.93,56.93,11.7,27.07,1.19,16-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Jan-2020 - 00:00,12.2,990.02,233.11,165.54,76.01,37.69,259.42,0.74,5.57,40.83,48.77,57.54,37.4,61.21,13.76,8.92,1.34,17-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Jan-2020 - 00:00,12.92,991.27,214.68,139.26,80.17,48.61,255.45,0.7,5.6,36.73,46.15,46.85,49.61,65.39,11.26,11.92,1.59,18-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Jan-2020 - 00:00,11.53,993.21,267.37,140.36,81.49,41.95,265.26,0.58,6.59,42.98,44.99,62.39,56.18,79.03,11.13,6.12,1.51,19-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Jan-2020 - 00:00,10.19,993.93,238.8,132.5,76.81,70.92,281.79,0.96,3.29,11.49,43.29,37.1,11.34,28.99,11.4,29.67,0.89,20-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Jan-2020 - 00:00,11.08,992.81,364.31,154.58,79.22,55.01,250.56,0.73,5.2,23.13,41.87,45.13,86.24,94.38,16.97,20.32,1.88,21-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Jan-2020 - 00:00,13.57,993.52,455.74,235.44,73.71,66.03,124.28,0.61,7.48,40.71,49.44,70.83,106.36,124.35,13.55,18.26,2.0,22-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Jan-2020 - 00:00,11.27,995.22,346.22,199.83,81.07,57.9,264.15,0.77,7.87,42.44,49.34,51.99,106.51,114.55,16.26,11.94,2.1,23-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Jan-2020 - 00:00,12.76,993.66,213.75,84.82,63.84,68.23,289.46,1.11,2.68,14.1,37.28,48.04,24.01,45.03,11.04,30.53,0.62,24-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Jan-2020 - 00:00,12.44,991.15,260.66,88.02,61.05,69.28,267.31,1.09,3.5,18.29,35.28,56.67,59.38,78.49,16.45,32.91,1.22,25-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Jan-2020 - 00:00,10.42,991.83,318.42,165.24,72.23,51.85,254.37,0.59,6.8,40.25,42.72,70.86,162.23,168.88,20.12,13.59,1.3,26-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Jan-2020 - 00:00,13.72,989.44,332.91,201.25,68.15,67.3,,,7.1,38.15,,50.52,82.28,93.92,22.72,,1.11,27-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Jan-2020 - 00:00,15.7,987.03,386.74,198.59,64.36,48.07,73.11,1.28,7.37,39.89,52.28,93.89,22.67,68.42,11.6,24.66,1.41,28-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Jan-2020 - 00:00,15.75,985.8,165.59,116.05,70.88,58.88,108.98,1.1,3.91,18.33,44.47,55.25,17.05,43.28,15.98,25.19,1.89,29-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Jan-2020 - 00:00,14.42,991.52,221.35,78.57,69.32,70.07,222.67,0.81,3.53,25.09,33.48,49.89,40.13,59.28,14.23,27.66,1.38,30-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Jan-2020 - 00:00,13.84,992.31,297.55,98.84,68.73,81.3,300.33,0.99,3.85,22.64,45.31,61.36,38.95,64.39,17.14,26.08,0.97,31-Jan-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
31-Jan-2020 - 00:00,14.47,990.24,301.31,102.66,61.01,110.55,216.02,0.89,3.5,22.61,29.13,60.76,48.67,72.0,6.31,29.46,0.99,01-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Feb-2020 - 00:00,13.35,993.07,332.2,122.03,68.45,68.73,233.36,0.79,5.83,31.78,30.88,55.34,78.18,93.18,17.35,30.4,1.39,02-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Feb-2020 - 00:00,11.44,994.53,302.62,138.45,72.17,69.74,259.28,0.79,4.02,18.0,35.19,56.52,51.93,72.38,18.86,26.35,1.26,03-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Feb-2020 - 00:00,12.75,993.26,354.05,159.21,66.05,70.71,223.21,0.64,5.04,26.88,29.36,69.74,134.3,117.09,19.73,28.68,1.89,04-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Feb-2020 - 00:00,14.36,991.69,482.5,190.34,62.01,67.79,121.64,0.59,7.35,48.89,33.4,96.52,163.59,170.16,20.78,33.15,2.66,05-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Feb-2020 - 00:00,14.14,991.84,360.47,170.36,64.47,71.22,284.83,0.9,4.44,30.57,40.72,63.0,51.24,75.27,19.95,34.29,1.2,06-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Feb-2020 - 00:00,12.77,991.27,345.56,144.2,66.9,70.66,217.1,0.76,4.32,25.41,33.42,62.35,91.06,107.4,22.32,28.77,1.76,07-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Feb-2020 - 00:00,13.6,993.64,369.79,166.88,64.62,63.53,237.08,0.78,6.37,35.54,35.08,74.52,108.89,126.74,20.09,34.84,1.65,08-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Feb-2020 - 00:00,13.41,995.43,359.46,181.57,66.61,67.24,291.72,0.84,3.79,18.53,37.42,58.21,41.71,64.96,19.48,35.58,1.19,09-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Feb-2020 - 00:00,13.89,995.95,418.49,179.53,65.18,72.6,264.06,0.7,4.21,20.54,33.74,67.29,58.28,83.3,20.32,36.46,1.42,10-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Feb-2020 - 00:00,13.65,994.03,436.62,234.19,67.51,72.06,245.52,0.68,5.99,32.26,36.3,81.09,142.25,140.67,20.73,30.14,2.36,11-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Feb-2020 - 00:00,14.35,994.2,524.14,242.73,66.18,73.88,251.92,0.63,7.26,45.0,45.6,87.92,161.55,178.48,21.05,30.8,2.87,12-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Feb-2020 - 00:00,15.85,993.65,406.24,206.46,64.91,73.11,265.02,1.06,4.4,19.85,43.57,68.43,50.59,77.63,23.76,34.75,1.41,13-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Feb-2020 - 00:00,18.29,990.73,294.07,137.92,59.87,73.79,273.98,1.22,2.76,10.71,36.72,48.52,22.0,43.74,29.98,36.77,0.91,14-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Feb-2020 - 00:00,16.36,988.23,233.18,99.78,61.16,59.85,284.43,1.01,2.76,14.21,35.27,51.17,25.0,47.59,18.96,31.74,0.99,15-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Feb-2020 - 00:00,15.82,988.02,297.32,117.61,55.67,56.99,271.39,1.13,3.1,14.06,34.4,63.93,30.73,59.08,28.68,34.02,0.94,16-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Feb-2020 - 00:00,17.16,991.07,332.3,156.68,57.61,78.82,265.36,0.84,4.99,26.0,34.54,75.45,94.42,116.11,33.17,43.83,2.2,17-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Feb-2020 - 00:00,17.34,992.17,392.1,171.47,58.88,85.59,264.55,0.86,4.8,23.06,38.38,79.02,74.45,102.73,25.34,35.82,1.44,18-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Feb-2020 - 00:00,16.98,989.61,376.81,156.12,55.9,90.56,260.76,0.93,4.34,22.9,32.82,72.82,96.54,116.82,35.88,39.31,1.91,19-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Feb-2020 - 00:00,18.93,988.26,352.08,119.51,55.97,77.29,140.15,1.24,6.46,32.22,41.28,74.66,101.1,122.11,27.95,34.6,1.63,20-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Feb-2020 - 00:00,21.16,987.73,283.06,98.75,53.2,90.92,116.23,1.51,4.27,14.83,48.59,49.13,6.16,31.14,14.24,71.31,0.87,21-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Feb-2020 - 00:00,17.19,991.91,103.32,57.88,68.03,48.96,57.83,1.89,4.1,22.64,51.91,39.03,5.36,25.13,7.67,45.12,0.82,22-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Feb-2020 - 00:00,17.83,995.31,292.25,77.08,67.56,48.9,55.31,0.92,7.27,46.98,40.56,68.76,75.48,98.1,8.33,16.26,2.08,23-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Feb-2020 - 00:00,19.79,992.84,249.64,119.36,64.81,86.04,230.23,0.78,6.68,47.26,49.15,53.33,36.98,58.52,7.88,39.92,1.35,24-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Feb-2020 - 00:00,19.69,989.58,253.52,87.82,62.36,96.75,283.94,0.74,4.76,32.72,38.46,60.64,40.5,65.27,8.64,33.29,1.27,25-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Feb-2020 - 00:00,19.14,988.45,361.54,155.46,66.03,101.94,281.32,0.74,5.92,33.87,46.73,60.58,54.08,76.31,16.84,31.91,1.73,26-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Feb-2020 - 00:00,20.28,989.13,403.29,156.81,63.05,104.63,210.35,0.73,7.08,41.33,47.19,71.52,78.39,101.95,22.5,29.6,1.89,27-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Feb-2020 - 00:00,21.43,989.63,272.88,105.15,62.74,81.28,129.51,0.88,5.74,29.53,44.16,70.25,29.08,61.07,21.69,32.54,1.23,28-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Feb-2020 - 00:00,20.82,988.46,196.06,87.05,64.17,72.64,123.69,1.56,3.93,15.36,45.26,48.65,6.83,31.43,16.64,39.42,0.92,29-Feb-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Feb-2020 - 00:00,20.71,987.49,138.88,58.24,64.42,98.49,107.72,1.54,3.34,17.01,40.42,43.72,6.68,28.69,17.48,43.03,0.78,01-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Mar-2020 - 00:00,20.91,988.19,194.12,44.81,62.46,120.07,165.47,0.68,4.01,27.37,34.29,56.02,43.04,64.69,19.72,41.48,1.34,02-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Mar-2020 - 00:00,21.32,987.64,351.49,107.82,66.47,110.69,221.87,0.53,7.97,54.34,48.42,69.16,102.97,120.74,24.4,30.82,2.3,03-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Mar-2020 - 00:00,21.97,986.14,326.69,103.75,59.45,127.63,212.41,0.76,6.58,47.17,47.29,64.44,64.35,86.74,21.85,26.66,1.59,04-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Mar-2020 - 00:00,21.87,985.53,246.86,78.57,58.1,121.13,108.47,1.27,5.73,33.04,44.59,62.39,41.9,67.34,21.98,41.08,1.6,05-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Mar-2020 - 00:00,19.74,985.76,77.81,28.07,63.43,105.79,103.92,1.34,2.32,14.93,37.23,40.67,10.14,29.91,20.85,43.32,,06-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Mar-2020 - 00:00,16.27,984.98,40.38,22.2,73.71,107.75,104.93,1.36,1.99,15.32,32.32,47.56,12.17,35.23,15.38,28.11,0.47,07-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Mar-2020 - 00:00,17.18,989.11,171.29,52.64,71.5,76.44,140.46,0.9,4.23,26.31,33.61,57.46,44.05,66.47,16.31,30.21,0.27,08-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Mar-2020 - 00:00,18.15,990.92,197.98,71.99,67.01,162.54,282.3,0.87,5.44,35.93,32.05,49.71,57.13,73.04,13.56,30.64,0.21,09-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Mar-2020 - 00:00,17.94,988.21,278.82,98.35,62.64,165.41,284.83,0.99,3.78,18.64,33.54,46.71,32.87,51.61,17.37,29.54,0.31,10-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Mar-2020 - 00:00,19.83,986.9,240.84,90.43,57.15,151.99,188.85,0.79,3.21,14.79,27.41,39.41,9.89,29.03,25.05,56.2,0.07,11-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Mar-2020 - 00:00,21.63,984.48,140.94,54.92,59.89,146.88,121.19,1.63,3.23,14.58,30.83,41.67,8.13,28.79,22.97,49.07,0.11,12-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Mar-2020 - 00:00,22.18,986.7,219.74,54.03,55.6,146.29,132.68,1.18,3.36,19.81,32.61,48.24,28.51,48.91,21.91,35.34,0.21,13-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Mar-2020 - 00:00,21.33,988.4,279.79,73.93,51.0,147.96,219.36,0.86,3.33,19.59,30.47,52.62,20.72,44.88,27.04,31.11,0.12,14-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Mar-2020 - 00:00,19.18,989.88,121.38,44.25,66.8,92.84,143.01,1.13,3.43,24.6,34.01,43.36,12.41,33.19,19.69,28.3,0.12,15-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Mar-2020 - 00:00,18.69,991.5,207.93,85.52,62.53,111.36,213.22,0.8,4.03,28.9,35.39,49.93,19.72,42.64,22.71,44.14,0.16,16-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Mar-2020 - 00:00,19.94,991.11,254.95,89.23,61.95,125.21,303.13,0.8,4.48,21.78,33.98,47.22,42.32,59.62,24.59,35.16,0.33,17-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Mar-2020 - 00:00,20.95,991.1,266.33,97.72,60.79,153.41,274.15,0.91,4.36,25.08,36.15,53.39,39.59,60.68,22.31,36.07,0.17,18-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Mar-2020 - 00:00,22.34,989.35,289.01,100.71,58.04,144.01,250.35,0.84,4.02,35.25,36.39,55.04,34.29,57.25,22.59,51.92,0.32,19-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Mar-2020 - 00:00,23.57,986.19,254.2,98.29,59.08,136.1,223.9,0.85,4.87,27.65,40.3,51.15,27.24,49.43,24.35,38.67,0.15,20-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Mar-2020 - 00:00,24.98,985.21,294.84,93.95,56.1,113.93,118.22,0.81,6.21,34.77,36.07,71.23,31.24,63.35,22.25,50.89,0.2,21-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Mar-2020 - 00:00,24.51,985.51,241.53,86.52,54.32,126.54,250.14,0.82,4.74,30.55,34.5,57.14,45.76,67.7,22.58,39.24,1.33,22-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Mar-2020 - 00:00,25.28,987.25,146.93,79.92,52.4,146.49,236.25,0.88,4.01,17.07,36.29,34.4,8.68,25.37,21.54,52.11,0.45,23-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Mar-2020 - 00:00,25.26,986.84,196.9,62.3,51.8,143.59,185.65,0.72,3.22,15.22,34.57,32.25,6.02,22.06,26.46,43.7,0.65,24-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Mar-2020 - 00:00,24.61,985.66,114.68,51.26,56.19,105.47,147.98,1.03,3.52,14.04,36.15,31.98,5.34,21.37,19.77,39.57,0.63,25-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Mar-2020 - 00:00,25.23,985.94,75.9,39.88,58.56,187.76,243.77,0.9,2.47,10.6,42.61,22.32,5.47,16.32,16.92,33.09,0.49,26-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Mar-2020 - 00:00,23.78,987.23,78.86,42.61,60.54,106.21,281.14,1.04,1.6,5.51,41.68,17.95,3.72,12.58,19.58,25.49,0.42,27-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Mar-2020 - 00:00,21.82,989.06,47.51,29.11,66.2,101.79,158.82,1.2,1.38,5.01,35.25,15.06,3.64,10.98,17.78,28.91,0.37,28-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Mar-2020 - 00:00,22.48,989.27,38.44,19.98,62.2,216.26,311.21,1.07,1.15,6.89,29.98,17.5,4.38,12.87,13.87,31.95,0.38,29-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Mar-2020 - 00:00,23.81,987.3,71.0,35.72,55.24,215.81,318.79,1.23,1.17,4.06,28.14,13.14,2.9,9.34,15.25,44.26,0.33,30-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Mar-2020 - 00:00,23.65,987.32,82.09,45.55,53.76,208.1,304.88,1.09,1.46,5.22,27.48,14.49,2.2,9.47,15.16,51.47,0.35,31-Mar-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
31-Mar-2020 - 00:00,25.15,985.95,72.66,34.19,50.34,179.56,280.37,1.2,1.28,5.55,24.25,12.44,2.08,8.32,12.98,58.44,0.31,01-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Apr-2020 - 00:00,25.39,985.21,68.43,35.19,53.46,199.28,246.95,1.04,1.5,5.98,27.56,13.76,4.8,10.78,15.72,48.18,0.35,02-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Apr-2020 - 00:00,25.18,985.57,67.15,30.17,50.82,222.18,291.9,1.18,1.2,5.27,25.77,11.97,3.14,8.14,12.91,54.94,0.31,03-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Apr-2020 - 00:00,24.06,986.81,78.72,41.21,47.14,221.86,304.82,0.99,1.67,5.79,25.06,13.81,2.31,9.23,17.74,65.97,0.32,04-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Apr-2020 - 00:00,24.71,986.86,108.18,58.41,48.17,220.91,273.32,0.81,2.35,8.29,26.52,18.72,2.66,12.12,18.0,58.87,0.47,05-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Apr-2020 - 00:00,26.51,987.47,115.92,67.42,47.74,194.54,168.55,0.84,3.05,12.7,28.12,20.46,2.56,12.97,18.8,60.41,0.55,06-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Apr-2020 - 00:00,29.01,986.19,112.91,58.82,43.96,216.06,242.26,1.01,3.47,10.24,27.47,18.17,3.19,12.14,13.82,57.64,0.51,07-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Apr-2020 - 00:00,26.83,984.43,129.2,51.11,46.96,197.02,277.71,1.41,1.68,5.56,30.58,12.77,2.86,8.93,20.91,59.77,0.38,08-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Apr-2020 - 00:00,26.77,984.87,86.18,34.93,42.56,214.94,311.08,1.33,1.23,5.39,24.19,11.18,2.12,7.63,16.51,67.11,0.31,09-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Apr-2020 - 00:00,26.08,985.39,90.84,46.06,44.02,207.06,287.88,0.92,1.89,6.06,24.83,15.31,2.17,9.91,19.51,71.13,0.39,10-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Apr-2020 - 00:00,27.92,986.3,173.18,92.53,43.65,201.59,241.36,0.71,4.19,14.24,29.26,26.84,4.7,18.11,26.04,53.39,0.73,11-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Apr-2020 - 00:00,30.22,987.11,112.29,47.29,41.95,196.9,229.83,0.82,3.09,14.57,25.68,21.37,4.01,14.64,18.89,68.09,0.57,12-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Apr-2020 - 00:00,29.35,985.03,102.93,46.58,42.41,210.83,294.32,1.06,2.15,5.63,28.29,15.94,2.92,10.87,20.09,68.91,0.43,13-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Apr-2020 - 00:00,30.61,982.88,179.61,83.24,42.9,199.0,263.01,0.83,3.76,9.62,31.24,24.28,4.38,16.46,30.52,55.88,0.72,14-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Apr-2020 - 00:00,32.26,983.25,210.92,80.14,41.26,150.74,184.52,0.59,4.02,15.12,29.75,27.32,3.78,17.61,24.05,54.51,0.77,15-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Apr-2020 - 00:00,32.55,982.92,196.75,58.3,36.82,173.89,200.64,0.77,3.98,13.12,25.8,25.77,7.32,19.65,19.32,48.29,0.66,16-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Apr-2020 - 00:00,31.72,981.64,193.69,70.72,36.66,179.93,273.65,1.04,3.28,12.01,29.58,21.12,5.85,15.85,20.98,60.15,0.52,17-Apr-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
