from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,RH,Benzene,Toluene,Xylene,MP-Xylene,AT,SR,BP,to date,station
01-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,04-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,05-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,06-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,07-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,08-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,09-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,10-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,12-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,14-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,15-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,16-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,17-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,18-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,19-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,20-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,21-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,25-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,26-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,30-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,31-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
31-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,01-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
