from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,Toluene,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,4.67,2.27,7.14,3.43,764.71,214.39,170.1,0.0,37.37,204.17,17.85,17.9,144.06,0.46,2.75,49.38,38.19,25.93,64.12,25.93,13.77,02-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
02-Jan-2019 - 00:00,2.65,1.28,4.11,2.15,764.6,184.01,60.7,0.0,37.27,184.9,18.92,12.19,163.55,0.6,1.82,38.84,26.3,19.92,46.22,32.96,15.14,03-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
03-Jan-2019 - 00:00,1.71,0.63,2.14,1.17,765.74,157.89,130.09,0.0,36.37,181.92,18.18,9.42,166.03,0.67,1.22,33.44,17.08,14.45,31.53,33.82,14.66,04-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
04-Jan-2019 - 00:00,1.83,0.57,2.25,1.29,764.58,121.28,56.63,0.0,37.17,164.72,17.68,9.83,156.27,0.71,1.32,30.01,9.16,16.46,25.61,36.3,12.28,05-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
05-Jan-2019 - 00:00,1.04,0.25,1.06,0.61,762.71,129.97,81.4,0.0,43.66,182.29,18.37,10.33,119.9,1.54,0.83,26.71,7.28,11.32,18.56,65.07,14.26,06-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
06-Jan-2019 - 00:00,1.36,0.18,0.55,0.36,762.67,122.56,125.85,0.0,59.68,164.21,16.18,8.42,136.6,1.03,0.95,25.7,6.96,10.04,17.0,63.96,11.87,07-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
07-Jan-2019 - 00:00,0.83,0.16,0.73,0.39,764.51,111.41,49.89,0.0,56.69,191.31,15.69,5.86,137.44,0.71,0.74,23.7,6.99,9.43,16.42,48.11,10.29,08-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
08-Jan-2019 - 00:00,1.59,0.55,1.6,0.88,763.45,176.91,93.12,0.0,50.91,189.23,15.69,9.15,176.86,0.65,1.27,26.66,10.25,12.44,22.69,28.42,11.11,09-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
09-Jan-2019 - 00:00,1.37,0.32,1.21,0.65,763.29,151.61,79.79,0.0,46.01,184.31,15.77,7.79,167.83,0.77,0.96,23.18,8.03,10.88,18.91,40.6,12.4,10-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
10-Jan-2019 - 00:00,2.22,0.92,2.87,1.67,762.63,132.27,76.51,0.0,34.71,188.0,16.95,11.15,165.72,0.71,1.73,27.22,13.91,14.36,28.27,32.27,16.76,11-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
11-Jan-2019 - 00:00,1.31,0.5,1.9,1.0,763.21,79.2,45.97,0.0,35.23,182.79,18.0,8.49,125.82,0.74,1.26,24.68,8.95,12.26,21.21,55.17,12.89,12-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
12-Jan-2019 - 00:00,1.71,0.66,2.2,1.12,762.68,149.38,73.1,0.0,43.35,183.81,17.56,8.69,135.95,0.73,1.5,27.26,10.81,13.46,24.26,62.47,12.59,13-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
13-Jan-2019 - 00:00,1.18,0.3,1.14,0.61,764.09,161.42,56.62,0.0,45.23,178.41,17.77,9.72,129.52,0.72,1.01,23.96,7.24,10.45,17.69,62.24,12.52,14-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
14-Jan-2019 - 00:00,0.68,0.13,0.44,0.29,764.81,126.04,42.86,0.0,37.83,192.56,15.67,6.64,151.03,1.06,0.7,19.61,7.03,7.54,14.58,45.77,11.11,15-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
15-Jan-2019 - 00:00,2.4,1.14,3.22,1.56,763.85,176.58,52.99,0.0,20.37,191.73,15.63,10.08,173.61,0.81,1.93,28.33,24.24,8.36,32.58,32.88,16.93,16-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
16-Jan-2019 - 00:00,2.82,1.27,4.16,2.02,762.95,153.92,51.45,0.0,28.08,182.62,17.22,13.31,140.2,0.71,1.89,29.65,17.7,13.33,31.03,28.12,13.2,17-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
17-Jan-2019 - 00:00,1.64,0.57,2.04,1.1,762.38,229.86,71.06,0.0,34.55,198.09,18.49,10.58,159.82,0.6,1.33,26.02,11.23,13.19,24.42,40.16,15.92,18-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
18-Jan-2019 - 00:00,3.59,1.57,4.95,2.42,762.99,236.23,80.5,0.0,38.0,193.19,18.22,13.23,172.4,0.44,2.26,36.53,27.94,14.86,42.8,33.59,14.56,19-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
19-Jan-2019 - 00:00,4.16,1.93,6.02,2.91,762.89,209.64,78.54,0.0,36.99,197.79,19.88,14.27,164.14,0.58,2.58,35.01,21.98,18.04,40.02,24.64,15.46,20-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
20-Jan-2019 - 00:00,1.86,1.49,5.68,2.74,762.15,133.76,54.25,0.0,33.6,197.54,21.88,10.64,158.79,0.75,1.33,27.85,11.74,17.66,28.91,36.02,22.61,21-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
21-Jan-2019 - 00:00,1.18,0.41,1.95,1.04,759.07,132.12,55.27,0.11,43.38,160.46,20.62,7.51,150.01,1.08,1.01,24.65,8.26,12.82,21.09,49.08,17.43,22-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
22-Jan-2019 - 00:00,0.88,0.29,1.24,0.65,760.2,80.52,36.82,0.0,59.81,197.66,16.52,6.82,155.96,0.83,0.93,25.19,9.02,11.21,20.23,30.64,13.58,23-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
23-Jan-2019 - 00:00,1.22,0.38,1.52,0.81,762.39,99.91,38.6,0.0,60.56,215.75,16.78,9.94,132.48,0.68,1.0,26.06,10.21,11.8,22.01,28.56,14.53,24-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
24-Jan-2019 - 00:00,0.88,0.22,0.75,0.41,764.01,140.02,46.36,0.05,70.09,177.96,14.82,7.71,107.83,1.22,0.79,23.21,7.69,9.65,17.34,43.97,9.78,25-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
25-Jan-2019 - 00:00,0.52,0.15,0.63,0.35,764.3,260.95,34.88,0.0,64.27,210.47,13.89,6.86,148.58,0.8,0.67,20.64,7.75,9.93,17.68,39.32,10.16,26-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
26-Jan-2019 - 00:00,0.5,0.11,0.42,0.25,766.36,67.23,43.55,0.0,46.52,217.9,13.65,6.62,127.77,0.85,0.54,18.21,7.36,7.97,15.33,49.29,10.96,27-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
27-Jan-2019 - 00:00,0.81,0.16,0.37,0.38,766.77,65.2,37.5,0.0,50.24,203.88,12.74,9.77,167.97,0.9,0.82,20.5,8.76,9.73,18.49,39.73,14.02,28-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
28-Jan-2019 - 00:00,1.49,0.4,0.87,0.66,766.74,80.08,38.83,0.0,43.15,216.99,13.33,10.94,172.18,0.92,0.92,22.13,11.16,10.88,22.04,32.82,17.28,29-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
29-Jan-2019 - 00:00,1.36,0.37,1.23,0.67,765.5,88.64,41.19,0.0,31.84,225.89,14.69,8.99,163.68,0.99,0.96,19.25,8.84,10.36,19.2,37.94,18.32,30-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
30-Jan-2019 - 00:00,1.81,0.49,1.49,1.02,764.09,128.45,43.79,0.0,33.34,224.44,16.05,16.32,152.74,0.64,1.55,23.19,11.1,14.49,25.6,32.49,12.42,31-Jan-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
31-Jan-2019 - 00:00,1.06,0.23,1.05,0.56,762.22,102.57,43.28,0.0,37.55,230.77,17.84,14.3,125.17,1.4,1.12,21.14,8.78,11.14,19.92,53.42,12.67,01-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
01-Feb-2019 - 00:00,1.18,0.26,0.71,0.44,763.23,118.36,42.93,0.0,56.11,231.16,16.16,11.39,163.17,1.31,1.0,21.4,8.71,10.54,19.25,36.7,11.34,02-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
02-Feb-2019 - 00:00,1.61,0.33,0.76,0.48,763.64,123.62,56.56,0.0,60.03,215.82,13.77,10.14,158.83,1.1,1.09,19.43,8.37,10.41,18.78,38.43,9.25,03-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
03-Feb-2019 - 00:00,1.86,0.52,1.48,1.01,764.39,137.75,46.35,0.0,52.22,204.77,15.83,29.91,146.98,0.58,1.35,21.3,10.38,12.16,22.55,38.5,11.81,04-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
04-Feb-2019 - 00:00,1.68,0.43,1.45,0.97,764.74,122.13,45.76,0.0,45.91,197.26,18.0,27.16,135.58,0.63,1.21,20.93,9.72,12.78,22.5,48.96,10.17,05-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
05-Feb-2019 - 00:00,1.87,0.55,1.57,1.11,762.49,118.37,45.87,0.0,51.8,183.98,20.97,36.41,144.89,0.85,1.56,23.1,9.55,14.32,23.87,53.98,13.29,06-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
06-Feb-2019 - 00:00,1.88,0.54,1.6,1.02,759.0,106.73,41.87,0.0,48.33,227.23,21.58,26.62,150.27,0.75,1.35,30.81,12.06,16.95,28.98,34.91,12.39,07-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
07-Feb-2019 - 00:00,1.06,0.2,0.82,0.47,757.74,130.92,50.52,0.0,44.43,209.24,18.35,12.55,147.86,1.02,1.04,29.52,10.11,10.83,20.94,35.86,11.32,08-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
08-Feb-2019 - 00:00,0.49,0.13,0.38,0.23,762.34,105.15,56.06,0.0,31.2,205.47,15.21,9.4,150.58,1.14,0.8,20.51,7.8,8.52,16.32,49.0,11.62,09-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
09-Feb-2019 - 00:00,0.9,0.21,0.7,0.4,764.43,91.2,42.67,0.0,36.7,204.5,15.07,10.17,142.96,1.01,0.92,29.94,9.2,15.28,24.47,40.01,10.76,10-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
10-Feb-2019 - 00:00,1.4,0.47,1.48,0.83,764.89,99.74,42.72,0.0,35.39,176.75,16.26,18.85,143.7,0.65,1.3,49.19,16.58,25.0,41.58,33.11,9.77,11-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
11-Feb-2019 - 00:00,1.32,0.35,1.32,0.7,764.96,85.01,43.74,0.0,36.46,200.26,17.78,14.4,121.57,0.77,1.25,42.84,11.93,24.44,36.37,47.16,9.78,12-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
12-Feb-2019 - 00:00,1.37,0.29,1.05,0.59,764.88,91.61,44.96,0.0,40.56,210.42,19.51,14.13,115.72,0.85,1.11,41.48,10.91,24.58,35.49,61.46,10.38,13-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
13-Feb-2019 - 00:00,1.13,0.22,0.8,0.47,764.04,81.95,38.89,0.0,42.32,187.83,21.25,14.2,124.06,1.36,1.12,42.13,11.1,24.93,36.02,67.46,11.52,14-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
14-Feb-2019 - 00:00,0.93,0.2,0.73,0.42,760.54,92.85,41.08,0.0,53.35,216.11,22.21,13.53,146.84,1.34,0.93,42.88,13.09,23.34,36.44,54.15,11.08,15-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
15-Feb-2019 - 00:00,0.84,0.1,0.25,0.17,761.67,100.43,43.88,0.0,47.76,209.4,19.12,7.61,154.37,1.47,0.79,29.41,9.19,20.16,28.79,56.7,11.81,16-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
16-Feb-2019 - 00:00,0.71,0.15,0.39,0.23,763.14,75.24,43.54,0.0,50.81,210.43,16.71,6.53,154.6,1.23,0.78,30.03,8.14,23.02,31.16,52.45,14.82,17-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
17-Feb-2019 - 00:00,0.87,0.22,0.69,0.42,761.15,85.72,42.61,0.0,45.02,217.98,17.67,12.64,165.64,0.89,0.98,35.68,11.55,24.36,35.91,38.37,17.58,18-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
18-Feb-2019 - 00:00,1.11,0.35,1.38,0.72,757.32,115.53,38.03,0.0,26.37,213.88,22.28,11.61,162.72,1.05,1.11,39.05,13.49,25.67,39.16,28.85,16.39,19-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
19-Feb-2019 - 00:00,0.68,0.19,0.78,0.45,759.33,136.12,47.47,0.0,41.44,219.11,22.45,10.97,144.23,0.98,0.92,40.49,14.39,24.12,38.5,38.61,15.56,20-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
20-Feb-2019 - 00:00,1.18,0.21,0.82,0.45,762.3,87.65,44.47,0.01,58.85,230.55,21.83,11.34,118.0,1.38,0.98,45.47,14.86,25.8,40.66,39.58,14.53,21-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
21-Feb-2019 - 00:00,0.84,0.14,0.47,0.28,761.93,90.96,42.11,0.0,51.8,257.16,23.98,9.34,153.14,1.39,0.83,40.01,13.21,23.07,36.28,42.41,14.94,22-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
22-Feb-2019 - 00:00,0.54,0.11,0.24,0.16,762.77,75.13,35.71,0.0,53.49,243.51,20.23,5.36,166.43,1.72,0.67,31.4,9.32,19.66,28.98,40.15,20.6,23-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
23-Feb-2019 - 00:00,0.68,0.21,0.5,0.27,761.86,93.15,33.9,0.0,36.22,214.38,18.33,6.26,151.23,1.11,0.7,30.58,8.61,20.1,28.71,56.56,26.16,24-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
24-Feb-2019 - 00:00,1.04,0.3,0.99,0.56,758.9,109.35,37.59,0.0,31.82,216.38,20.73,15.15,139.01,0.83,1.02,41.2,12.9,25.3,38.19,46.44,23.78,25-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
25-Feb-2019 - 00:00,0.89,0.22,0.79,0.45,757.97,123.95,38.71,0.0,32.98,207.05,21.13,11.56,137.92,1.14,0.95,38.92,12.45,23.72,36.17,52.13,19.02,26-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
26-Feb-2019 - 00:00,0.92,0.22,0.88,0.46,757.93,91.05,35.64,0.08,48.47,188.74,17.86,11.47,109.95,1.25,0.98,38.25,11.84,24.0,35.85,41.73,11.09,27-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
27-Feb-2019 - 00:00,0.83,0.18,0.59,0.34,758.32,96.13,38.6,0.0,58.89,208.99,16.56,10.67,128.66,1.04,0.75,36.01,12.81,20.87,33.68,35.44,14.24,28-Feb-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
28-Feb-2019 - 00:00,0.84,0.28,0.97,0.51,761.48,92.85,35.65,0.0,38.68,228.87,17.76,11.37,120.09,0.85,0.96,37.22,12.53,22.42,34.95,46.19,10.03,01-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
01-Mar-2019 - 00:00,1.16,0.26,1.05,0.56,761.73,99.87,38.58,0.0,33.22,224.09,19.25,13.45,121.88,0.91,0.99,38.59,12.23,24.01,36.24,48.08,14.58,02-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
02-Mar-2019 - 00:00,0.96,0.14,0.58,0.31,760.71,102.11,35.75,0.0,40.81,159.03,18.63,12.32,101.63,1.94,0.85,36.49,11.43,22.95,34.38,58.97,10.53,03-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
03-Mar-2019 - 00:00,0.93,0.14,0.53,0.3,758.52,103.83,36.93,0.0,51.42,239.07,18.89,13.73,105.69,2.12,0.87,37.68,12.26,23.31,35.57,57.75,6.85,04-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
04-Mar-2019 - 00:00,1.26,0.16,0.58,0.35,757.41,109.83,35.0,0.0,57.82,206.18,20.25,14.49,137.8,1.09,0.91,37.58,12.04,23.38,35.42,51.21,7.77,05-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
05-Mar-2019 - 00:00,0.49,0.14,0.51,0.28,758.58,76.12,33.8,0.0,45.27,237.24,19.78,7.97,136.63,1.0,0.74,29.94,9.36,19.26,28.62,49.49,10.48,06-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
06-Mar-2019 - 00:00,0.95,0.4,1.35,0.72,759.38,95.96,37.31,0.0,31.98,231.56,20.67,12.71,150.46,0.87,1.1,38.48,19.19,21.9,41.09,38.72,12.51,07-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
07-Mar-2019 - 00:00,1.02,0.31,1.18,0.6,759.22,95.19,37.72,0.0,26.21,231.37,22.57,11.09,121.5,1.17,0.99,36.68,17.2,21.9,39.11,57.61,13.71,08-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
08-Mar-2019 - 00:00,0.93,0.17,0.77,0.39,759.84,92.42,35.85,0.0,25.69,230.09,23.76,9.89,118.96,1.63,0.9,35.9,11.51,22.54,34.05,64.83,14.08,09-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
09-Mar-2019 - 00:00,0.89,0.3,0.66,0.47,760.36,129.8,41.49,0.0,35.81,237.55,22.39,9.51,121.61,1.39,0.79,32.46,9.66,21.4,31.06,71.08,15.47,10-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
10-Mar-2019 - 00:00,0.59,0.16,0.62,0.33,760.66,86.58,38.93,0.0,32.0,242.6,22.71,10.47,122.3,0.89,0.8,32.97,9.87,21.62,31.5,68.14,14.81,11-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
11-Mar-2019 - 00:00,0.77,0.16,0.56,0.29,760.21,109.59,40.13,0.0,31.17,231.41,23.21,8.68,136.7,1.68,0.78,32.42,9.97,20.97,30.94,65.14,15.56,12-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
12-Mar-2019 - 00:00,0.51,0.12,0.47,0.24,761.9,104.54,41.3,0.0,34.5,210.14,22.82,6.96,96.03,1.06,0.8,28.24,8.33,18.98,27.31,71.3,14.33,13-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
13-Mar-2019 - 00:00,1.12,0.29,1.17,0.55,761.92,100.66,40.09,0.01,39.93,159.63,21.06,9.52,110.03,0.98,1.03,34.91,10.42,22.8,33.22,57.83,16.82,14-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
14-Mar-2019 - 00:00,0.68,0.14,0.62,0.3,761.97,93.78,39.19,0.02,40.41,193.39,21.52,7.95,101.03,1.44,0.81,31.4,10.08,20.05,30.13,67.76,14.81,15-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
15-Mar-2019 - 00:00,0.34,0.1,0.38,0.19,763.59,63.91,38.55,0.0,36.85,247.02,21.13,7.32,119.68,1.01,0.63,28.12,9.0,18.19,27.19,57.95,10.58,16-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
16-Mar-2019 - 00:00,0.34,0.09,0.33,0.17,762.74,135.09,34.83,0.0,31.19,236.89,21.94,6.9,118.28,0.98,0.69,27.32,8.46,17.91,26.34,61.72,14.16,17-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
17-Mar-2019 - 00:00,0.67,0.14,0.51,0.28,761.28,105.9,39.09,0.0,25.71,241.64,23.61,11.25,141.18,0.88,0.76,33.01,10.33,21.19,31.53,55.4,12.17,18-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
18-Mar-2019 - 00:00,0.76,0.22,0.92,0.47,761.02,93.44,35.45,0.0,29.06,242.5,24.55,9.34,130.31,0.82,1.0,34.44,10.94,21.96,32.9,55.09,14.0,19-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
19-Mar-2019 - 00:00,1.04,0.31,1.22,0.61,758.49,107.78,38.33,0.0,26.25,243.25,26.46,8.72,125.16,0.88,1.05,34.86,10.9,22.42,33.32,61.64,14.73,20-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
20-Mar-2019 - 00:00,0.95,0.21,0.87,0.47,757.24,125.88,41.85,0.0,21.98,224.81,27.14,9.09,135.11,0.92,1.03,35.45,12.21,21.5,33.7,42.46,16.54,21-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
21-Mar-2019 - 00:00,0.88,0.09,0.31,0.17,759.38,123.42,41.42,0.0,36.72,215.28,25.78,6.66,107.83,1.14,0.78,28.92,8.7,19.31,28.0,68.24,15.94,22-Mar-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
