from date,PM2.5,PM10,NO2,NOx,NH3,SO2,CO,Ozone,WS,WD,RH,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RF,BP,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
